match_id,map_name,date,team1,team2,rating_diff,kd_diff,target
542195,Bind,2025-09-12 09:00:00,Paper Rex,Xi Lai Gaming,0.0,0.0,1
542195,Sunset,2025-09-12 09:00:00,Paper Rex,Xi Lai Gaming,0.0,0.0,1
542196,Corrode,2025-09-12 11:25:00,GIANTX,Sentinels,0.0,0.0,0
542196,Haven,2025-09-12 11:25:00,GIANTX,Sentinels,0.0,0.0,1
542196,Sunset,2025-09-12 11:25:00,GIANTX,Sentinels,0.0,0.0,1
542197,Ascent,2025-09-17 09:00:00,GIANTX,Paper Rex,-0.1519999999999999,-0.1754310921978699,1
542197,Lotus,2025-09-17 09:00:00,GIANTX,Paper Rex,-0.1519999999999999,-0.1754310921978699,0
542197,Sunset,2025-09-17 09:00:00,GIANTX,Paper Rex,-0.1519999999999999,-0.1754310921978699,0
542198,Abyss,2025-09-19 12:30:00,Sentinels,Xi Lai Gaming,0.12933333333333363,0.2572877120388728,1
542198,Haven,2025-09-19 12:30:00,Sentinels,Xi Lai Gaming,0.12933333333333363,0.2572877120388728,0
542198,Lotus,2025-09-19 12:30:00,Sentinels,Xi Lai Gaming,0.12933333333333363,0.2572877120388728,0
542199,Ascent,2025-09-21 11:20:00,GIANTX,Xi Lai Gaming,0.005294926433617397,-0.023090263631789343,1
542199,Bind,2025-09-21 11:20:00,GIANTX,Xi Lai Gaming,0.005294926433617397,-0.023090263631789343,1
542200,Corrode,2025-09-15 09:00:00,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),MIBR,0.0,0.0,0
542200,Haven,2025-09-15 09:00:00,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),MIBR,0.0,0.0,0
542201,Abyss,2025-09-15 11:10:00,FNATIC,Rex Regum Qeon,0.0,0.0,1
542201,Ascent,2025-09-15 11:10:00,FNATIC,Rex Regum Qeon,0.0,0.0,1
542202,Abyss,2025-09-18 11:25:00,FNATIC,MIBR,-0.10000000000000031,-0.4160698284690221,1
542202,Bind,2025-09-18 11:25:00,FNATIC,MIBR,-0.10000000000000031,-0.4160698284690221,0
542202,Haven,2025-09-18 11:25:00,FNATIC,MIBR,-0.10000000000000031,-0.4160698284690221,1
542203,Abyss,2025-09-20 09:00:00,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Rex Regum Qeon,-0.08000000000000018,-0.15867905242905267,0
542203,Lotus,2025-09-20 09:00:00,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Rex Regum Qeon,-0.08000000000000018,-0.15867905242905267,0
542203,Sunset,2025-09-20 09:00:00,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Rex Regum Qeon,-0.08000000000000018,-0.15867905242905267,1
542204,Abyss,2025-09-22 11:15:00,MIBR,Rex Regum Qeon,0.08963159299279366,0.1996572606525282,1
542204,Corrode,2025-09-22 11:15:00,MIBR,Rex Regum Qeon,0.08963159299279366,0.1996572606525282,1
542205,Abyss,2025-09-13 11:55:00,DRX,Team Liquid,0.0,0.0,1
542205,Bind,2025-09-13 11:55:00,DRX,Team Liquid,0.0,0.0,1
542207,Abyss,2025-09-13 09:00:00,EDward Gaming,NRG,0.0,0.0,0
542207,Corrode,2025-09-13 09:00:00,EDward Gaming,NRG,0.0,0.0,0
542208,Corrode,2025-09-17 12:10:00,DRX,NRG,0.02400000000000002,0.21668447618302955,0
542208,Haven,2025-09-17 12:10:00,DRX,NRG,0.02400000000000002,0.21668447618302955,1
542208,Lotus,2025-09-17 12:10:00,DRX,NRG,0.02400000000000002,0.21668447618302955,0
542209,Abyss,2025-09-19 09:00:00,EDward Gaming,Team Liquid,0.09699999999999998,0.1859071433836137,0
542209,Bind,2025-09-19 09:00:00,EDward Gaming,Team Liquid,0.09699999999999998,0.1859071433836137,0
542209,Sunset,2025-09-19 09:00:00,EDward Gaming,Team Liquid,0.09699999999999998,0.1859071433836137,1
542210,Abyss,2025-09-21 09:00:00,DRX,Team Liquid,0.11545285794394478,0.22747896876962959,1
542210,Corrode,2025-09-21 09:00:00,DRX,Team Liquid,0.11545285794394478,0.22747896876962959,1
542211,Corrode,2025-09-14 12:20:00,G2 Esports,Team Heretics,0.0,0.0,0
542211,Lotus,2025-09-14 12:20:00,G2 Esports,Team Heretics,0.0,0.0,0
542212,Lotus,2025-09-14 09:00:00,Dragon Ranger Gaming,T1,0.0,0.0,0
542212,Sunset,2025-09-14 09:00:00,Dragon Ranger Gaming,T1,0.0,0.0,0
542213,Lotus,2025-09-18 09:00:00,T1,Team Heretics,-0.15700000000000003,-0.22601496135658217,0
542213,Sunset,2025-09-18 09:00:00,T1,Team Heretics,-0.15700000000000003,-0.22601496135658217,0
542214,Abyss,2025-09-20 12:00:00,Dragon Ranger Gaming,G2 Esports,0.10799999999999998,0.18690239461808134,0
542214,Lotus,2025-09-20 12:00:00,Dragon Ranger Gaming,G2 Esports,0.10799999999999998,0.18690239461808134,0
542215,Corrode,2025-09-22 09:00:00,G2 Esports,T1,0.032228831404695124,0.050541040925033975,1
542215,Lotus,2025-09-22 09:00:00,G2 Esports,T1,0.032228831404695124,0.050541040925033975,1
542264,Ascent,2025-09-25 12:50:00,DRX,FNATIC,-0.0035090604694609784,0.10366944745117612,1
542264,Haven,2025-09-25 12:50:00,DRX,FNATIC,-0.0035090604694609784,0.10366944745117612,0
542264,Lotus,2025-09-25 12:50:00,DRX,FNATIC,-0.0035090604694609784,0.10366944745117612,0
542265,Ascent,2025-09-25 09:00:00,G2 Esports,Paper Rex,-0.02984003751999964,-0.1315576379460739,0
