match_id,map_name,team,date,opponent_team,winner_flag,avg_rating,total_k,total_d,player_count,team_kd
542195,Bind,Paper Rex,2025-09-12 09:00:00,Xi Lai Gaming,1,1.228,89,66,5,1.3484848484848484
542195,Bind,Xi Lai Gaming,2025-09-12 09:00:00,Paper Rex,0,0.76,66,89,5,0.7415730337078652
542195,Sunset,Paper Rex,2025-09-12 09:00:00,Xi Lai Gaming,1,1.1,74,60,5,1.2333333333333334
542195,Sunset,Xi Lai Gaming,2025-09-12 09:00:00,Paper Rex,0,0.884,60,74,5,0.8108108108108109
542196,Sunset,Sentinels,2025-09-12 11:25:00,GIANTX,0,0.732,48,73,5,0.6575342465753424
542196,Haven,Sentinels,2025-09-12 11:25:00,GIANTX,0,0.86,68,82,5,0.8292682926829268
542196,Sunset,GIANTX,2025-09-12 11:25:00,Sentinels,1,1.294,73,48,5,1.5208333333333333
542196,Corrode,Sentinels,2025-09-12 11:25:00,GIANTX,1,1.262,71,44,5,1.6136363636363635
542196,Corrode,GIANTX,2025-09-12 11:25:00,Sentinels,0,0.7060000000000001,44,71,5,0.6197183098591549
542196,Haven,GIANTX,2025-09-12 11:25:00,Sentinels,1,1.036,82,68,5,1.2058823529411764
542207,Corrode,EDward Gaming,2025-09-13 09:00:00,NRG,0,1.006,85,86,5,0.9883720930232558
542207,Abyss,EDward Gaming,2025-09-13 09:00:00,NRG,0,0.9560000000000001,111,118,5,0.940677966101695
542207,Corrode,NRG,2025-09-13 09:00:00,EDward Gaming,1,1.056,86,85,5,1.011764705882353
542207,Abyss,NRG,2025-09-13 09:00:00,EDward Gaming,1,1.046,118,111,5,1.063063063063063
542205,Abyss,DRX,2025-09-13 11:55:00,Team Liquid,1,1.06,71,61,5,1.1639344262295082
542205,Abyss,Team Liquid,2025-09-13 11:55:00,DRX,0,0.9119999999999999,61,75,5,0.8133333333333334
542205,Bind,DRX,2025-09-13 11:55:00,Team Liquid,1,1.09,82,61,5,1.3442622950819672
542205,Bind,Team Liquid,2025-09-13 11:55:00,DRX,0,0.8560000000000001,61,82,5,0.7439024390243902
542212,Lotus,Dragon Ranger Gaming,2025-09-14 09:00:00,T1,0,0.994,103,98,5,1.0510204081632653
542212,Lotus,T1,2025-09-14 09:00:00,Dragon Ranger Gaming,1,1.028,98,103,5,0.9514563106796117
542212,Sunset,T1,2025-09-14 09:00:00,Dragon Ranger Gaming,1,0.994,109,107,5,1.0186915887850467
542212,Sunset,Dragon Ranger Gaming,2025-09-14 09:00:00,T1,0,0.998,107,109,5,0.981651376146789
542211,Lotus,Team Heretics,2025-09-14 12:20:00,G2 Esports,1,1.1380000000000001,87,77,5,1.12987012987013
542211,Corrode,G2 Esports,2025-09-14 12:20:00,Team Heretics,0,0.8320000000000001,65,84,5,0.7738095238095238
